"","year","agency","funding_class","sum_rev","agency_total_budget","proportion"
"1033",2023,"Borough President - Queens","FEDERAL - OTHER",4222.50000000003,6712391.12,0
"1034",2023,"Business Integrity Commission","FEDERAL - OTHER",7121.88999999996,8976817.53,0
"1035",2023,"Business Integrity Commission","STATE",25738,8976817.53,0
"1036",2023,"City Council","STATE",15124,84763709.53,0
"1037",2023,"City University of New York","FEDERAL - OTHER",77196156,1269748098.49,0.06
"1038",2023,"City University of New York","STATE",245099773,1269748098.49,0.19
"1039",2023,"Commission on Human Rights","FEDERAL - OTHER",208750,11129552.34,0.02
"1040",2023,"DEPT OF CONSUMER & WORKER PROTECTION","STATE",446599.16,67906144.77,0.01
"1041",2023,"Debt Service","FEDERAL - OTHER",164915780.73,7117957757.01,0.02
"1042",2023,"Department for the Aging","FEDERAL - OTHER",80137830.0799999,494741370.31,0.16
"1043",2023,"Department for the Aging","STATE",83181226.58,494741370.31,0.17
"1044",2023,"Department of Buildings","FEDERAL - OTHER",0,192133910.95,0
"1045",2023,"Department of City Planning","FEDERAL - OTHER",1661418.07,39705900.11,0.04
"1046",2023,"Department of City Planning","STATE",47653,39705900.11,0
"1047",2023,"Department of Citywide Administrative Services","FEDERAL - OTHER",174487.54,1623651260.27,0
"1048",2023,"Department of Citywide Administrative Services","STATE",70747420.04,1623651260.27,0.04
"1049",2023,"Department of Consumer & Worker Protection","STATE",1606252.26,NA,NA
"1050",2023,"Department of Correction","FEDERAL - OTHER",186089,1357412390.26,0
"1051",2023,"Department of Correction","STATE",1795775.53,1357412390.26,0
"1052",2023,"Department of Cultural Affairs","FEDERAL - OTHER",0,245009182.64,0
"1053",2023,"Department of Design and Construction","FEDERAL - OTHER",0,228405883.64,0
"1054",2023,"Department of Education","FEDERAL - OTHER",4071520328.71,31505483971.52,0.13
"1055",2023,"Department of Education","STATE",12486443834.95,31505483971.52,0.4
"1056",2023,"Department of Emergency Management","FEDERAL - OTHER",32000659.5,186238436.82,0.17
"1057",2023,"Department of Emergency Management","STATE",-3522.74,186238436.82,0
"1058",2023,"Department of Environmental Protection","FEDERAL - OTHER",3762209.04,1535921046.42,0
"1059",2023,"Department of Environmental Protection","STATE",2004270.55,1535921046.42,0
"1060",2023,"Department of Finance","STATE",329150,332077135.420001,0
"1061",2023,"Department of Health and Mental Hygiene","FEDERAL - OTHER",463549200.319998,2335487991.38001,0.2
"1062",2023,"Department of Health and Mental Hygiene","STATE",785535858.11,2335487991.38001,0.34
"1063",2023,"Department of Homeless Services","FEDERAL - OTHER",501419171.030001,3540377650.3,0.14
"1064",2023,"Department of Homeless Services","STATE",617615861.57,3540377650.3,0.17
"1065",2023,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",2162527,897444018.830002,0
"1066",2023,"Department of Information Technology and Telecommunications","STATE",2334975.93,897444018.830002,0
"1067",2023,"Department of Investigation","FEDERAL - OTHER",2325554.65,47674617.3199999,0.05
"1068",2023,"Department of Parks and Recreation","FEDERAL - OTHER",168945.98,614286337.580001,0
"1069",2023,"Department of Parks and Recreation","STATE",-8019827.43,614286337.580001,-0.01
"1070",2023,"Department of Probation","FEDERAL - OTHER",45000,115332511.02,0
"1071",2023,"Department of Probation","STATE",13726853.31,115332511.02,0.12
"1072",2023,"Department of Records and Information Services","FEDERAL - OTHER",-1536.69,14234228.31,0
"1073",2023,"Department of Records and Information Services","STATE",-18028,14234228.31,0
"1074",2023,"Department of Sanitation","FEDERAL - OTHER",0,1919279015.03,0
"1075",2023,"Department of Sanitation","STATE",3662641.77,1919279015.03,0
"1076",2023,"Department of Small Business Services","FEDERAL - OTHER",42954809.6199999,364135862.77,0.12
"1077",2023,"Department of Small Business Services","STATE",1466288.27999999,364135862.77,0
"1078",2023,"Department of Social Services","FEDERAL - OTHER",1556188752.18,11126993268,0.14
"1079",2023,"Department of Social Services","STATE",703570933.36,11126993268,0.06
"1080",2023,"Department of Transportation","FEDERAL - OTHER",120094938.48,1385386403.03,0.09
"1081",2023,"Department of Transportation","STATE",274563352.469999,1385386403.03,0.2
"1082",2023,"Department of Veterans' Services","STATE",435000,NA,NA
"1083",2023,"Department of Youth and Community Development","FEDERAL - OTHER",22521726.46,1126488498.5,0.02
"1084",2023,"Department of Youth and Community Development","STATE",9724071,1126488498.5,0.01
"1085",2023,"District Attorney - Bronx County","FEDERAL - OTHER",1280653.19,106628806,0.01
"1086",2023,"District Attorney - Bronx County","STATE",3972816.62,106628806,0.04
"1087",2023,"District Attorney - New York County","FEDERAL - OTHER",845172.48,157107177.65,0.01
"1088",2023,"District Attorney - New York County","STATE",6237690.62,157107177.65,0.04
"1089",2023,"District Attorney - Queens County","FEDERAL - OTHER",243191.5,89353546.51,0
"1090",2023,"District Attorney - Queens County","STATE",2762312.46,89353546.51,0.03
"1091",2023,"District Attorney -Kings County","FEDERAL - OTHER",655089.379999999,135527486.36,0
"1092",2023,"District Attorney -Kings County","STATE",3273846.37,135527486.36,0.02
"1093",2023,"District Attorney -Richmond County","FEDERAL - OTHER",121057.42,23193844.9,0.01
"1094",2023,"District Attorney -Richmond County","STATE",834450.52,23193844.9,0.04
"1095",2023,"Fire Department","FEDERAL - OTHER",89630377.8200001,2552198780.54,0.04
"1096",2023,"Fire Department","STATE",21433714.98,2552198780.54,0.01
"1097",2023,"Health and Hospitals Corporation","FEDERAL - OTHER",749110.28,1921781845.29,0
"1098",2023,"Housing Preservation and Development","FEDERAL - OTHER",657448788.16,1324080408.12,0.5
"1099",2023,"Housing Preservation and Development","STATE",-473324.99,1324080408.12,0
"1100",2023,"Landmarks Preservation Commission","STATE",20000,7203508.44,0
"1101",2023,"Law Department","STATE",81783,271275706.679999,0
"1102",2023,"Mayoralty","FEDERAL - OTHER",1643175689.03,182929863.35,8.98
"1103",2023,"Mayoralty","STATE",87011229.78,182929863.35,0.48
"1104",2023,"Miscellaneous","FEDERAL - OTHER",2575424.11,15662729630.74,0
"1105",2023,"Miscellaneous","STATE",1167537741.83,15662729630.74,0.07
"1106",2023,"Office of Prosecution - Special Narcotics","FEDERAL - OTHER",66126,26549243.41,0
"1107",2023,"Office of Prosecution - Special Narcotics","STATE",902500,26549243.41,0.03
"1108",2023,"Police Department","FEDERAL - OTHER",172983549.79,6310784460.74999,0.03
"1109",2023,"Police Department","STATE",85281655.39,6310784460.74999,0.01
"1110",2024,"Administration for Children's Services","FEDERAL - OTHER",1338824335.54,3355051718.45,0.4
"1111",2024,"Administration for Children's Services","STATE",990901433.35,3355051718.45,0.3
"1112",2024,"Board of Elections","STATE",14677836.93,257341780.62,0.06
"1113",2024,"Borough President - Bronx","FEDERAL - OTHER",303924.12,6598252.34,0.05
"1114",2024,"Borough President - Brooklyn","FEDERAL - OTHER",0,7163557.91,0
"1115",2024,"Borough President - Queens","FEDERAL - OTHER",226386.08,6495069.41,0.03
"1116",2024,"Business Integrity Commission","FEDERAL - OTHER",268430.07,8821192.96999999,0.03
"1117",2024,"Business Integrity Commission","STATE",35761.68,8821192.96999999,0
"1118",2024,"City University of New York","FEDERAL - OTHER",111132444,1281872319.87,0.09
"1119",2024,"City University of New York","STATE",259458279,1281872319.87,0.2
"1120",2024,"Civilian Complaint Review Board","FEDERAL - OTHER",0,25910508.95,0
"1121",2024,"Civilian Complaint Review Board","STATE",201511.62,25910508.95,0.01
"1122",2024,"Commission on Human Rights","FEDERAL - OTHER",171100,11494378.14,0.01
"1123",2024,"Commission on Human Rights","STATE",55427,11494378.14,0
"1124",2024,"Debt Service","FEDERAL - OTHER",102942760.01,6761553278.44,0.02
"1125",2024,"Department for the Aging","FEDERAL - OTHER",99144941.15,509350363.95,0.19
"1126",2024,"Department for the Aging","STATE",111662275.85,509350363.95,0.22
"1127",2024,"Department of Buildings","STATE",55447,190335942.65,0
"1128",2024,"Department of City Planning","FEDERAL - OTHER",1803785.11,45661063.31,0.04
"1129",2024,"Department of City Planning","STATE",142509,45661063.31,0
"1130",2024,"Department of Citywide Administrative Services","FEDERAL - OTHER",284184.83,1823493415.65,0
"1131",2024,"Department of Citywide Administrative Services","STATE",76792087.2400001,1823493415.65,0.04
"1132",2024,"Department of Consumer & Worker Protection","STATE",1700790.48,NA,NA
"1133",2024,"Department of Correction","FEDERAL - OTHER",279022.83,1277574383.63,0
"1134",2024,"Department of Correction","STATE",1491599.16,1277574383.63,0
"1135",2024,"Department of Cultural Affairs","FEDERAL - OTHER",429380.52,222592762.56,0
"1136",2024,"Department of Design and Construction","FEDERAL - OTHER",972761.27,171931787.2,0.01
"1137",2024,"Department of Design and Construction","STATE",34694,171931787.2,0
"1138",2024,"Department of Education","FEDERAL - OTHER",4320788236.99,33367648004.53,0.13
"1139",2024,"Department of Education","STATE",13043677736.99,33367648004.53,0.39
"1140",2024,"Department of Emergency Management","FEDERAL - OTHER",29689817.96,174743175.53,0.17
"1141",2024,"Department of Emergency Management","STATE",372933.5,174743175.53,0
"1142",2024,"Department of Environmental Protection","FEDERAL - OTHER",556683.190000003,1622653326.74,0
"1143",2024,"Department of Environmental Protection","STATE",194569.04,1622653326.74,0
"1144",2024,"Department of Finance","STATE",112500,341808889.45,0
"1145",2024,"Department of Health and Mental Hygiene","FEDERAL - OTHER",514413298.450002,2344290033.91,0.22
"1146",2024,"Department of Health and Mental Hygiene","STATE",709849095.019999,2344290033.91,0.3
"1147",2024,"Department of Homeless Services","FEDERAL - OTHER",444716377.93,3892168604.13999,0.11
"1148",2024,"Department of Homeless Services","STATE",1033809666.53,3892168604.13999,0.27
"1149",2024,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",3265145.82,972621057.669999,0
"1150",2024,"Department of Information Technology and Telecommunications","STATE",2270571.09,972621057.669999,0
"1151",2024,"Department of Investigation","FEDERAL - OTHER",3870234.24,55702878.12,0.07
"1152",2024,"Department of Parks and Recreation","FEDERAL - OTHER",27786.08,639005225.04,0
"1153",2024,"Department of Parks and Recreation","STATE",917987.129999999,639005225.04,0
"1154",2024,"Department of Probation","FEDERAL - OTHER",11921.71,106500757.23,0
"1155",2024,"Department of Probation","STATE",17107380.93,106500757.23,0.16
"1156",2024,"Department of Records and Information Services","FEDERAL - OTHER",434880.47,13466012.81,0.03
"1157",2024,"Department of Records and Information Services","STATE",290082.68,13466012.81,0.02
"1158",2024,"Department of Sanitation","FEDERAL - OTHER",1219416.06,1977801388.90999,0
"1159",2024,"Department of Sanitation","STATE",2255118.29,1977801388.90999,0
"1160",2024,"Department of Small Business Services","FEDERAL - OTHER",58128324.19,284367531.239999,0.2
"1161",2024,"Department of Small Business Services","STATE",1250000.00000003,284367531.239999,0
"1162",2024,"Department of Social Services","FEDERAL - OTHER",2055055490.2,12448780659.37,0.17
"1163",2024,"Department of Social Services","STATE",1777347645.96,12448780659.37,0.14
"1164",2024,"Department of Transportation","FEDERAL - OTHER",116939477.35,1471075538.6,0.08
"1165",2024,"Department of Transportation","STATE",313115083.91,1471075538.6,0.21
"1166",2024,"Department of Veterans' Services","STATE",435000,NA,NA
"1167",2024,"Department of Youth and Community Development","FEDERAL - OTHER",101304146.93,1291698905.29,0.08
"1168",2024,"Department of Youth and Community Development","STATE",18199084.24,1291698905.29,0.01
"1169",2024,"District Attorney - Bronx County","FEDERAL - OTHER",497143.11,123194211.24,0
"1170",2024,"District Attorney - Bronx County","STATE",13475411.19,123194211.24,0.11
"1171",2024,"District Attorney - New York County","FEDERAL - OTHER",1162322.52,189729649.79,0.01
"1172",2024,"District Attorney - New York County","STATE",24867497.31,189729649.79,0.13
"1173",2024,"District Attorney - Queens County","FEDERAL - OTHER",1219656.88,113337838.74,0.01
"1174",2024,"District Attorney - Queens County","STATE",16325224.97,113337838.74,0.14
"1175",2024,"District Attorney -Kings County","FEDERAL - OTHER",743987.01,163023914.89,0
"1176",2024,"District Attorney -Kings County","STATE",19392666.38,163023914.89,0.12
"1177",2024,"District Attorney -Richmond County","FEDERAL - OTHER",301633.96,30051994.1,0.01
"1178",2024,"District Attorney -Richmond County","STATE",4878057.34,30051994.1,0.16
"1179",2024,"Fire Department","FEDERAL - OTHER",89587702.3199997,2719837086.55999,0.03
"1180",2024,"Fire Department","STATE",19663207.75,2719837086.55999,0.01
"1181",2024,"Health and Hospitals Corporation","FEDERAL - OTHER",1663492.5,3131094470.11,0
"1182",2024,"Housing Preservation and Development","FEDERAL - OTHER",732123933.320004,1871840601.15,0.39
"1183",2024,"Housing Preservation and Development","STATE",-1441344.26,1871840601.15,0
"1184",2024,"Landmarks Preservation Commission","STATE",162406,7963665.98,0.02
"1185",2024,"Law Department","STATE",67064,325257646.06,0
"1186",2024,"Mayoralty","FEDERAL - OTHER",542061439.520003,184116513.08,2.94
"1187",2024,"Mayoralty","STATE",379209287.86,184116513.08,2.06
"1188",2024,"Miscellaneous","FEDERAL - OTHER",4939447.8,14366593045.73,0
"1189",2024,"Miscellaneous","STATE",1171777441.76,14366593045.73,0.08
"1190",2024,"NYC Taxi and Limousine Commission","STATE",31000,54466700.22,0
"1191",2024,"OFFICE OF CRIMINAL JUSTICE","FEDERAL - OTHER",2330685.52,9882558.76,0.24
"1192",2024,"Office of Prosecution - Special Narcotics","FEDERAL - OTHER",61124.24,31186166.2,0
"1193",2024,"Office of Prosecution - Special Narcotics","STATE",1650000,31186166.2,0.05
"1194",2024,"Police Department","FEDERAL - OTHER",183897581.2,6627306933.36,0.03
"1195",2024,"Police Department","STATE",28642415.03,6627306933.36,0
"1196",2025,"Administration for Children's Services","FEDERAL - OTHER",-7129023.99999996,NA,NA
"1197",2025,"Administration for Children's Services","STATE",-4716415.07999994,NA,NA
"1198",2025,"Borough President - Bronx","FEDERAL - OTHER",0,NA,NA
"1199",2025,"Business Integrity Commission","FEDERAL - OTHER",-142740.16,NA,NA
"1200",2025,"Business Integrity Commission","STATE",0,NA,NA
"1201",2025,"Civilian Complaint Review Board","STATE",0,NA,NA
"1202",2025,"Department for the Aging","FEDERAL - OTHER",-274290.64,NA,NA
"1203",2025,"Department for the Aging","STATE",0,NA,NA
"1204",2025,"Department of City Planning","FEDERAL - OTHER",0,NA,NA
"1205",2025,"Department of City Planning","STATE",0,NA,NA
"1206",2025,"Department of Citywide Administrative Services","FEDERAL - OTHER",-40.5099999999911,NA,NA
"1207",2025,"Department of Citywide Administrative Services","STATE",-1632039.57,NA,NA
"1208",2025,"Department of Consumer & Worker Protection","STATE",0,NA,NA
"1209",2025,"Department of Correction","FEDERAL - OTHER",0,NA,NA
"1210",2025,"Department of Correction","STATE",-478600,NA,NA
"1211",2025,"Department of Design and Construction","FEDERAL - OTHER",-1.45519152283669e-11,NA,NA
"1212",2025,"Department of Education","FEDERAL - OTHER",0,NA,NA
"1213",2025,"Department of Education","STATE",-818720.590000093,NA,NA
"1214",2025,"Department of Emergency Management","FEDERAL - OTHER",9.31322574615479e-10,NA,NA
"1215",2025,"Department of Emergency Management","STATE",0,NA,NA
"1216",2025,"Department of Environmental Protection","FEDERAL - OTHER",-7.27595761418343e-12,NA,NA
"1217",2025,"Department of Environmental Protection","STATE",0,NA,NA
"1218",2025,"Department of Finance","STATE",0,NA,NA
"1219",2025,"Department of Health and Mental Hygiene","FEDERAL - OTHER",-868145.889999963,NA,NA
"1220",2025,"Department of Health and Mental Hygiene","STATE",-2428262.00000001,NA,NA
"1221",2025,"Department of Homeless Services","FEDERAL - OTHER",-115085.240000002,NA,NA
"1222",2025,"Department of Homeless Services","STATE",0,NA,NA
"1223",2025,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",0,NA,NA
"1224",2025,"Department of Parks and Recreation","STATE",0,NA,NA
"1225",2025,"Department of Probation","FEDERAL - OTHER",0,NA,NA
"1226",2025,"Department of Probation","STATE",-3301270.5,NA,NA
"1227",2025,"Department of Records and Information Services","STATE",-53768,NA,NA
"1228",2025,"Department of Small Business Services","FEDERAL - OTHER",1.86264514923096e-09,NA,NA
"1229",2025,"Department of Social Services","FEDERAL - OTHER",-69910869.8800001,NA,NA
"1230",2025,"Department of Social Services","STATE",-67590418,NA,NA
"1231",2025,"Department of Transportation","FEDERAL - OTHER",-1.86264514923096e-09,NA,NA
"1232",2025,"Department of Transportation","STATE",0,NA,NA
"1233",2025,"Department of Youth and Community Development","FEDERAL - OTHER",-18490188.05,NA,NA
"1234",2025,"District Attorney - Bronx County","FEDERAL - OTHER",0,NA,NA
"1235",2025,"District Attorney - Bronx County","STATE",0,NA,NA
"1236",2025,"District Attorney - New York County","FEDERAL - OTHER",0,NA,NA
"1237",2025,"District Attorney - New York County","STATE",0,NA,NA
"1238",2025,"District Attorney - Queens County","FEDERAL - OTHER",-2.91038304567337e-11,NA,NA
"1239",2025,"District Attorney - Queens County","STATE",0,NA,NA
"1240",2025,"District Attorney -Kings County","FEDERAL - OTHER",-7.27595761418343e-12,NA,NA
"1241",2025,"District Attorney -Kings County","STATE",0,NA,NA
"1242",2025,"District Attorney -Richmond County","FEDERAL - OTHER",3.63797880709171e-12,NA,NA
"1243",2025,"District Attorney -Richmond County","STATE",-5980,NA,NA
"1244",2025,"Fire Department","FEDERAL - OTHER",4.65661287307739e-09,NA,NA
"1245",2025,"Fire Department","STATE",-7.27595761418343e-12,NA,NA
"1246",2025,"Housing Preservation and Development","FEDERAL - OTHER",-33975162.84,NA,NA
"1247",2025,"Mayoralty","FEDERAL - OTHER",-12317472.63,NA,NA
"1248",2025,"Miscellaneous","FEDERAL - OTHER",-2425207.75,NA,NA
"1249",2025,"Miscellaneous","STATE",-67593.1800000016,NA,NA
"1250",2025,"Office of Prosecution - Special Narcotics","STATE",0,NA,NA
"1251",2025,"Police Department","FEDERAL - OTHER",-1573.06999997795,NA,NA
"1252",2025,"Police Department","STATE",-2.3283064365387e-10,NA,NA
